-100,160
200,-80
-110,-30
230,-70
-80,-130
160,-160
-160,-80
-180,-30
130,-10
190,-40
110,-40
-20,180
-250,-160
10,-160
40,140
180,100
-100,150
-50,0
-60,-200
-120,160
100,-130
-150,40
140,60
90,-120
200,60
-40,160
20,30
230,-180
50,-10
-210,190
20,90
-70,-170
-20,-30
-220,-130
-80,-170
-100,150
180,50
-140,-160
-120,100
80,0
-120,190
-120,-150
-160,-20
-60,-190
50,-110
-110,-90
120,-80
140,120
-200,-120
-200,70
30,40
-190,20
170,-100
-50,0
150,-40
-60,-130
-250,-100
-50,30
200,80
-120,-70
-150,180
110,-130
30,-170
20,-60
10,90
40,160
-160,-80
0,-140
230,-170
230,-190
-60,-60
30,-80
-150,70
70,70
-150,60
130,100
-40,-200
-120,-160
0,-110
30,-90
-10,120
-20,-80
130,-20
-20,170
90,-150
190,190
-140,110
-120,-100
-120,70
100,150
-240,40
-180,-170
-220,170
80,-110
-190,130
-110,90
-120,110
-50,-130
-60,-50
140,-110
